,equity
203,1.0299755997603097
204,1.0495118963600982
205,1.0652075365882436
206,1.0530786072661777
207,1.035444875055569
208,1.0439379532365627
209,1.033395447778507
210,1.0332672590082665
211,1.0419804202976988
212,1.0249923807432528
213,1.0035918097424399
214,1.006197490265359
215,1.0066441991031918
216,1.004172875283129
217,1.0045599054942635
218,0.9959525974499525
219,0.9809924069836341
220,0.9793588970904403
221,0.969888468577093
222,0.9540788030495351
223,0.9589156180847975
224,0.958327037756182
225,0.9622308402982398
226,0.9527584713589938
227,0.9465093444887097
228,0.937100386905794
229,0.9288283882316118
230,0.9306451669311311
231,0.9233869037655675
232,0.9266806336963094
233,0.9298344406481869
234,0.9488570541188295
235,0.9357330837738038
236,0.9440784747099976
237,0.9432340160251397
238,0.9431016921207479
239,0.9295266494993414
240,0.9252588529703897
241,0.9321609678404755
242,0.9313924536221944
243,0.9321476939478333
244,0.929441720377785
245,0.9402349611459855
246,0.9400330902377957
247,0.9976112143330154
248,0.9907308569525947
249,0.9714161390976348
250,0.9403391046942787
251,0.9353674122557272
252,0.9479246394912043
253,0.9483714059412213
254,0.937316257724236
255,0.9285402675041081
256,0.9390980379261111
257,0.9405794737155687
258,0.9410310530979099
259,0.9405280955204406
260,0.9408893301221992
261,0.9484979047340195
262,0.953753500952232
263,0.9558130125135016
264,0.945896936727039
265,0.8785348001939379
266,0.8784469467139185
267,0.8784469467139185
268,0.8784469467139185
269,0.8784469467139185
270,0.8784469467139185
271,0.8784469467139185
272,0.8784469467139185
273,0.8784469467139185
274,0.8784469467139185
275,0.8784469467139185
276,0.8784469467139185
277,0.8784469467139185
278,0.8784469467139185
279,0.8784469467139185
280,0.8784469467139185
281,0.8784469467139185
282,0.8784469467139185
283,0.8784469467139185
284,0.8784469467139185
285,0.8784469467139185
286,0.8784469467139185
287,0.8784469467139185
288,0.8784469467139185
289,0.8784469467139185
290,0.8784469467139185
291,0.8784469467139185
292,0.8784469467139185
293,0.8784469467139185
294,0.8784469467139185
295,0.8784469467139185
296,0.8784469467139185
297,0.8784469467139185
298,0.8784469467139185
299,0.8784469467139185
300,0.8784469467139185
301,0.8784469467139185
302,0.877845710908639
303,0.8727742486562446
304,0.8672497043287362
305,0.8812611398682648
306,0.8857377097092695
307,0.8863362326073665
308,0.8832732023958586
309,0.8735313518268206
310,0.8729474903711837
311,0.8806074785862927
312,0.8771575418077049
313,0.875166529423487
314,0.8732342470517686
315,0.8741917872151725
316,0.8603761513975469
317,0.8583532220217902
318,0.851050731063563
319,0.8586123938108126
320,0.8520213658701229
321,0.8569521402024436
322,0.8701159214578053
323,0.8673915444641811
324,0.8621891866834114
325,0.8638412757325904
326,0.863823748332426
327,0.855283154988332
328,0.8592344201879599
329,0.8767281299253646
330,0.8744681074054913
331,0.8726958181577695
332,0.8636242186521881
333,0.8663843450803097
334,0.8556478183729009
335,0.8462286154293829
336,0.8571271095743398
337,0.8494012557111813
338,0.8586361616722059
339,0.8718251187992366
340,0.8740889260521086
341,0.8789394678842383
342,0.8962671616366941
343,0.8945056828040536
344,0.8892169091168898
345,0.8772648018754783
346,0.8776307597211083
347,0.8907086664080635
348,0.8992970063867782
349,0.8908645909460978
350,0.8832768526188786
351,0.8788348319568908
352,0.8814071428593577
353,0.8795993696932245
354,0.8814877293527997
355,0.8841073353374526
356,0.8814697982356893
357,0.8811157481963883
358,0.8829379477812302
359,0.8821968585928383
360,0.8866501059522722
361,0.9033943717890498
362,0.9087580762507439
363,0.909265400655724
364,0.8940626359000106
365,0.8975379522585013
366,0.880234740078261
367,0.8679189034826716
368,0.8753682663587843
369,0.8815723057252501
370,0.8802514755075778
371,0.8653270458903124
372,0.8621196257785032
373,0.856287902986329
374,0.8617584942447817
375,0.8814359752830075
376,0.8833501541132768
377,0.8764928625858115
378,0.866292876482328
379,0.8658070719909244
380,0.8642777362977297
381,0.854382494715958
382,0.8553771920603943
383,0.8455889752993794
384,0.8455044164018495
385,0.8455044164018495
386,0.8455044164018495
387,0.8455044164018495
388,0.8455044164018495
389,0.8455044164018495
390,0.8455044164018495
391,0.8455044164018495
392,0.8455044164018495
393,0.8455044164018495
394,0.8455044164018495
395,0.8455044164018495
396,0.8455044164018495
397,0.8455044164018495
398,0.8455044164018495
399,0.8455044164018495
400,0.8455044164018495
401,0.8455044164018495
402,0.8455044164018495
403,0.8455044164018495
404,0.8455044164018495
405,0.8455044164018495
406,0.8455044164018495
407,0.8455044164018495
408,0.8455044164018495
409,0.8455044164018495
410,0.8455044164018495
411,0.8455044164018495
412,0.8455044164018495
413,0.8455044164018495
414,0.8455044164018495
415,0.8455044164018495
416,0.8455044164018495
417,0.8439376933830643
418,0.8574423965818778
419,0.8519101608620471
420,0.8533070846830413
421,0.8391638365021571
422,0.835957096542012
423,0.8442214493494697
424,0.8337198234154144
425,0.8427072939719159
426,0.8455540190628947
427,0.8367727657977139
428,0.8325860454520945
429,0.8287726882922402
430,0.8283623871415406
431,0.8239330565910783
432,0.8171448757182064
433,0.8146597395459175
434,0.8063368886638745
435,0.7960057149964
436,0.7956223198029317
437,0.8026777637161535
438,0.7904952326607304
439,0.7904161831374643
440,0.7904161831374643
441,0.7904161831374643
442,0.7904161831374643
443,0.7904161831374643
444,0.7904161831374643
445,0.7904161831374643
446,0.7904161831374643
447,0.7904161831374643
448,0.7904161831374643
449,0.7904161831374643
450,0.7904161831374643
451,0.7904161831374643
452,0.7904161831374643
453,0.7904161831374643
454,0.7904161831374643
455,0.7904161831374643
456,0.7904161831374643
457,0.7904161831374643
458,0.7904161831374643
459,0.7904161831374643
460,0.7904161831374643
461,0.7904161831374643
462,0.7904161831374643
463,0.7904161831374643
464,0.7904161831374643
465,0.7904161831374643
466,0.7904161831374643
467,0.7904161831374643
468,0.7904161831374643
469,0.7904161831374643
470,0.7904161831374643
471,0.7904161831374643
472,0.7904161831374643
473,0.7904161831374643
474,0.7904161831374643
475,0.7904161831374643
476,0.7904161831374643
477,0.7904161831374643
478,0.7904161831374643
479,0.7904161831374643
480,0.7904161831374643
481,0.7904161831374643
482,0.7904161831374643
483,0.7904161831374643
484,0.7904161831374643
485,0.7904161831374643
486,0.7904161831374643
487,0.7904161831374643
488,0.7904161831374643
489,0.7904161831374643
490,0.7904161831374643
491,0.7904161831374643
492,0.7904161831374643
493,0.7904161831374643
494,0.7904161831374643
495,0.7904161831374643
496,0.7904161831374643
497,0.7904161831374643
498,0.7904161831374643
499,0.7904161831374643
500,0.7904161831374643
501,0.7904161831374643
502,0.7904161831374643
503,0.7904161831374643
504,0.7904161831374643
505,0.7904161831374643
506,0.7904161831374643
507,0.7904161831374643
508,0.7904161831374643
509,0.7904161831374643
510,0.7904161831374643
511,0.7904161831374643
512,0.7904161831374643
513,0.7904161831374643
514,0.7904161831374643
515,0.7904161831374643
516,0.7904161831374643
517,0.7904161831374643
518,0.7904161831374643
519,0.7904161831374643
520,0.7904161831374643
521,0.7904161831374643
522,0.7904161831374643
523,0.7904161831374643
524,0.7904161831374643
525,0.7904161831374643
526,0.7904161831374643
527,0.7904161831374643
528,0.7904161831374643
529,0.7904161831374643
530,0.7904161831374643
531,0.7904161831374643
532,0.7904161831374643
533,0.7904161831374643
534,0.7904161831374643
535,0.7904161831374643
536,0.7904161831374643
537,0.7904161831374643
538,0.7904161831374643
539,0.7904161831374643
540,0.7904161831374643
541,0.7904161831374643
542,0.7904161831374643
543,0.7904161831374643
544,0.7904161831374643
545,0.7904161831374643
546,0.7904161831374643
547,0.7904161831374643
548,0.7904161831374643
549,0.7904161831374643
550,0.7904161831374643
551,0.7904161831374643
552,0.7904161831374643
553,0.7904161831374643
554,0.7904161831374643
555,0.7904161831374643
556,0.7904161831374643
557,0.7904161831374643
558,0.7904161831374643
559,0.7904161831374643
560,0.7904161831374643
561,0.7904161831374643
562,0.7904161831374643
563,0.7904161831374643
564,0.7904161831374643
565,0.7904161831374643
566,0.7904161831374643
567,0.7904161831374643
568,0.7904161831374643
569,0.7904161831374643
570,0.7904161831374643
571,0.7904161831374643
572,0.7904161831374643
573,0.7904161831374643
574,0.7904161831374643
575,0.7904161831374643
576,0.7904161831374643
577,0.7904161831374643
578,0.7904161831374643
579,0.7904161831374643
580,0.7904161831374643
581,0.7904161831374643
582,0.7904161831374643
583,0.7904161831374643
584,0.7904161831374643
585,0.7904161831374643
586,0.7904161831374643
587,0.7904161831374643
588,0.7904161831374643
589,0.7904161831374643
590,0.7904161831374643
591,0.7904161831374643
592,0.7904161831374643
593,0.7904161831374643
594,0.7904161831374643
595,0.7904161831374643
596,0.7904161831374643
597,0.7904161831374643
598,0.7904161831374643
599,0.7824520606071941
600,0.7697286597605022
601,0.7742112588759277
602,0.7737844738871908
603,0.7761745834618942
604,0.7631088105236442
605,0.7603276734827688
606,0.7557804459149126
607,0.7492770418197281
608,0.7168567123929218
609,0.7167850267216825
610,0.7167850267216825
611,0.7167850267216825
612,0.7167850267216825
613,0.7167850267216825
614,0.7167850267216825
615,0.7167850267216825
616,0.7167850267216825
617,0.7167850267216825
618,0.7167850267216825
619,0.7167850267216825
620,0.7167850267216825
621,0.7167850267216825
622,0.7167850267216825
623,0.7167850267216825
624,0.7167850267216825
625,0.7167850267216825
626,0.7167850267216825
627,0.7167850267216825
628,0.7167850267216825
629,0.7167850267216825
630,0.7167850267216825
631,0.7167850267216825
632,0.7167850267216825
633,0.7167850267216825
634,0.7167850267216825
635,0.7167850267216825
636,0.7152943365054665
637,0.7209423492629717
638,0.7285175955339878
639,0.7176036053166249
640,0.7110666443013602
641,0.7134659286741685
642,0.7087818178427046
643,0.646358051546199
644,0.6531053243598125
645,0.6563394505117743
646,0.6595843639992688
647,0.656455841500706
648,0.663245237528453
649,0.6616556222633043
650,0.6689501648152377
651,0.6628792943381591
652,0.6572415187050933
653,0.6585880277329494
654,0.6539787574460569
655,0.65841101594793
656,0.6601256911698723
657,0.6540609519905003
658,0.6545377111093196
659,0.6522424998121777
660,0.6582433878590533
661,0.6540927908746779
662,0.6512264899359402
663,0.6591623495277805
664,0.6740847167059405
665,0.6876953138715157
666,0.6881302330300023
667,0.6896378876204944
668,0.7002946996220839
669,0.6994238312135472
670,0.6926282409985908
671,0.6934382276394304
672,0.696576296722847
673,0.6908245154094989
674,0.6795450449157753
675,0.6698516215696655
676,0.6743238737554922
677,0.6692293022870517
678,0.6682840343387327
679,0.6697060408535328
680,0.673865327357061
681,0.6716123083338836
682,0.6749701103452885
683,0.6689891260772224
684,0.6665736697337219
685,0.6597800420590333
686,0.6672896316534587
687,0.6671089325513301
688,0.6621951326888201
689,0.6598658500707312
690,0.6584043604147292
691,0.6630328059272553
692,0.6525371733441433
693,0.6458039984675914
694,0.6457394180677446
695,0.6457394180677446
696,0.6457394180677446
697,0.6457394180677446
698,0.6457394180677446
699,0.6457394180677446
700,0.6457394180677446
701,0.6457394180677446
702,0.6457394180677446
703,0.6457394180677446
704,0.6457394180677446
705,0.6457394180677446
706,0.6457394180677446
707,0.6568092510311163
708,0.6605369870343342
709,0.6650724747566764
710,0.6517254671435038
711,0.655894864471878
712,0.6546229510627037
713,0.6574695687511092
714,0.6619718774431809
715,0.659716472862608
716,0.6486578215538473
717,0.6510484632790537
718,0.6462395446977682
719,0.644109218936782
720,0.6402272605335327
721,0.6380441396484698
722,0.6234772368426071
723,0.6311109802655893
724,0.6327119024160984
725,0.6397830795549274
726,0.6525759944491376
727,0.6539600768735061
728,0.6422784564861789
729,0.636562797640561
730,0.6289262682157096
731,0.6257777541569851
732,0.6262763720285248
733,0.6138618420412477
734,0.615967772502721
735,0.6067343664743946
736,0.608541268936409
737,0.6078753347681781
738,0.605971834369251
739,0.6055293756356462
740,0.602269666697857
741,0.5985922101583819
742,0.5886036388493525
743,0.5884292772266648
744,0.5993897665709385
745,0.6113789823374683
746,0.6195139435370771
747,0.6239019499619444
748,0.6196956208080558
749,0.628701091300978
750,0.6283483157650888
751,0.6279156866643697
752,0.6260896860149626
753,0.6266657148026903
754,0.6239442985288777
755,0.6234217633860956
756,0.6166966725600469
757,0.6143966008691139
758,0.6285692557464564
759,0.6281319612659232
760,0.6266346454415671
761,0.6299795830112482
762,0.6344564379972294
763,0.6274292656366558
764,0.6261308361766921
765,0.6319069239994033
766,0.6336143492629769
767,0.6343875389543279
768,0.6443230331158903
769,0.6399707530587646
770,0.6405005217375006
771,0.6371781897987759
772,0.6467452208501158
773,0.6342440565224516
774,0.630007932518504
775,0.6266830064543495
776,0.6308551230295051
777,0.6346914605660332
778,0.6436087011589533
779,0.6335574017268873
780,0.6383299777902558
781,0.6364606270522395
782,0.6322382526776839
783,0.6356588312291139
784,0.6298367096123638
785,0.616890453873034
786,0.6146108337477262
787,0.6054739672968467
788,0.6015576714050698
789,0.6037969450777355
790,0.6056837318648335
791,0.6153719918290355
792,0.6141445981186112
793,0.6047995533384196
794,0.6002439271031397
795,0.5947506698920549
796,0.5946911948250657
797,0.5946911948250657
798,0.5946911948250657
799,0.5946911948250657
800,0.5946911948250657
801,0.5946911948250657
802,0.5946911948250657
803,0.5946911948250657
804,0.5946911948250657
805,0.5946911948250657
806,0.5946911948250657
807,0.5946911948250657
808,0.5946911948250657
809,0.5946911948250657
810,0.5946911948250657
811,0.5946911948250657
812,0.5946911948250657
813,0.5946911948250657
814,0.5946911948250657
815,0.5946911948250657
816,0.5946911948250657
817,0.5946911948250657
818,0.5946911948250657
819,0.5946911948250657
820,0.5946911948250657
821,0.5946911948250657
822,0.5946911948250657
823,0.5946911948250657
824,0.5946911948250657
825,0.5946911948250657
826,0.5946911948250657
827,0.5946911948250657
828,0.5946911948250657
829,0.5946911948250657
830,0.5946911948250657
831,0.5946911948250657
832,0.5946911948250657
833,0.5946911948250657
834,0.5946911948250657
835,0.5946911948250657
836,0.5946911948250657
837,0.5946911948250657
838,0.5946911948250657
839,0.5946911948250657
840,0.5946911948250657
841,0.5946911948250657
842,0.5946911948250657
843,0.5946911948250657
844,0.5946911948250657
845,0.5946911948250657
846,0.5946911948250657
847,0.5946911948250657
848,0.5946911948250657
849,0.5946911948250657
850,0.5946911948250657
851,0.5946911948250657
852,0.5946911948250657
853,0.5946911948250657
854,0.5946911948250657
855,0.5946911948250657
856,0.5946911948250657
857,0.5946911948250657
858,0.5946911948250657
859,0.5946911948250657
860,0.5946911948250657
861,0.5946911948250657
862,0.5946911948250657
863,0.5946911948250657
864,0.5946911948250657
865,0.5946911948250657
866,0.5946911948250657
867,0.5946911948250657
868,0.5946911948250657
869,0.5946911948250657
870,0.5946911948250657
871,0.5946911948250657
872,0.5946911948250657
873,0.5946911948250657
874,0.5946911948250657
875,0.5881194192704308
876,0.5932459308193838
877,0.605812925415709
878,0.6105134518000167
879,0.6120634077486501
880,0.6130066391482359
881,0.6207810402523157
882,0.615051874320525
883,0.5981587832521481
884,0.6009178993517637
885,0.605405408037132
886,0.6027635821765065
887,0.6046188529860255
888,0.6029408202001652
889,0.6036676275449993
890,0.6028707600901502
891,0.5960275606922105
892,0.5959017311904474
893,0.6011516836538732
894,0.5953664541094865
895,0.5939328036146071
896,0.5978943035308701
897,0.5915317371298385
898,0.5926130880404421
899,0.5863638037744476
900,0.5930547533333436
901,0.6069308971451194
902,0.6193295327825445
903,0.6179735686634553
904,0.6225647747056495
905,0.6233185198567817
906,0.6239552898513789
907,0.6336877248448868
908,0.6253831424119604
909,0.6320177225387483
910,0.631708261356607
911,0.6406690891201551
912,0.6418697591158942
913,0.6375665704038087
914,0.6393359755345702
915,0.6440586352351048
916,0.6442890154602562
917,0.647441077846473
918,0.6440723330585844
919,0.6304741776432077
920,0.6361742062553354
921,0.6406376653297603
922,0.6415876555397272
923,0.6420267194278676
924,0.64871460846357
925,0.6457560573786174
926,0.6412096507226802
927,0.6400017898309537
928,0.6476574595914145
929,0.6387357396091324
930,0.6463939293776422
931,0.6422750168938967
932,0.6352439842047047
933,0.6432990943209904
934,0.6426761030758208
935,0.6343738985545782
936,0.6321022666458801
937,0.6380149525559987
938,0.6456660770865154
939,0.6429143263102797
940,0.6455319350237689
941,0.6501580769955368
942,0.645980465242747
943,0.6482780050671104
944,0.6480713804928286
945,0.6446068533469932
946,0.6414422277342624
947,0.6418723593602479
948,0.6420640092470044
949,0.6384434483829238
950,0.6357298131456837
951,0.642847176501525
952,0.6442232288649787
953,0.649950520952485
954,0.6578088980846962
955,0.5752602435000461
956,0.5752027174756961
957,0.5752027174756961
958,0.5752027174756961
959,0.5752027174756961
960,0.5752027174756961
961,0.5752027174756961
962,0.5752027174756961
963,0.5752027174756961
964,0.5752027174756961
965,0.5752027174756961
966,0.5752027174756961
967,0.5752027174756961
968,0.5752027174756961
969,0.5752027174756961
970,0.5752027174756961
971,0.5752027174756961
972,0.5752027174756961
973,0.5752027174756961
974,0.5752027174756961
975,0.5752027174756961
976,0.5752027174756961
977,0.5752027174756961
978,0.5752027174756961
979,0.5752027174756961
980,0.5752027174756961
981,0.5752027174756961
982,0.5752027174756961
983,0.5752027174756961
984,0.5752027174756961
985,0.5752027174756961
986,0.5752027174756961
987,0.5752027174756961
988,0.5752027174756961
989,0.5752027174756961
990,0.5752027174756961
991,0.5752027174756961
992,0.5752027174756961
993,0.5752027174756961
994,0.5752027174756961
995,0.5752027174756961
996,0.5752027174756961
997,0.5752027174756961
998,0.5752027174756961
999,0.5752027174756961
1000,0.5752027174756961
1001,0.5752027174756961
1002,0.5752027174756961
1003,0.5752027174756961
1004,0.5772833934721784
1005,0.5876329892181724
1006,0.5932963221463418
1007,0.5893800526210108
1008,0.5871318187291371
1009,0.5896979040373431
1010,0.5900587475327413
1011,0.5903506695143408
1012,0.5886634722228252
1013,0.5655649555899168
1014,0.5642914235780485
1015,0.5519125511419265
1016,0.5539684898322301
1017,0.5499609246964999
1018,0.5460404528310328
1019,0.5448442775006588
1020,0.5463319444822743
1021,0.5385641874072037
1022,0.538510330988463
1023,0.538510330988463
1024,0.538510330988463
1025,0.538510330988463
1026,0.538510330988463
1027,0.538510330988463
1028,0.538510330988463
1029,0.538510330988463
1030,0.538510330988463
1031,0.538510330988463
1032,0.538510330988463
1033,0.538510330988463
1034,0.538510330988463
1035,0.538510330988463
1036,0.538510330988463
1037,0.538510330988463
1038,0.538510330988463
1039,0.538510330988463
1040,0.538510330988463
1041,0.538510330988463
1042,0.538510330988463
1043,0.538510330988463
1044,0.538510330988463
1045,0.538510330988463
1046,0.538510330988463
1047,0.538510330988463
1048,0.538510330988463
1049,0.538510330988463
1050,0.538510330988463
1051,0.538510330988463
1052,0.538510330988463
1053,0.538510330988463
1054,0.538510330988463
1055,0.538510330988463
1056,0.538510330988463
1057,0.538510330988463
1058,0.538510330988463
1059,0.538510330988463
1060,0.538510330988463
1061,0.538510330988463
1062,0.538510330988463
1063,0.538510330988463
1064,0.538510330988463
1065,0.538510330988463
1066,0.538510330988463
1067,0.538510330988463
1068,0.538510330988463
1069,0.538510330988463
1070,0.538510330988463
1071,0.538510330988463
1072,0.538510330988463
1073,0.538510330988463
1074,0.538510330988463
1075,0.538510330988463
1076,0.538510330988463
1077,0.538510330988463
1078,0.538510330988463
1079,0.538510330988463
1080,0.538510330988463
1081,0.538510330988463
1082,0.538510330988463
1083,0.538510330988463
1084,0.538510330988463
1085,0.538510330988463
1086,0.538510330988463
1087,0.538510330988463
1088,0.538510330988463
1089,0.538510330988463
1090,0.538510330988463
1091,0.538510330988463
1092,0.538510330988463
1093,0.538510330988463
1094,0.538510330988463
1095,0.538510330988463
1096,0.538510330988463
1097,0.538510330988463
1098,0.538510330988463
1099,0.538510330988463
1100,0.538510330988463
1101,0.538510330988463
1102,0.538510330988463
1103,0.538510330988463
1104,0.538510330988463
1105,0.538510330988463
1106,0.538510330988463
1107,0.538510330988463
1108,0.538510330988463
1109,0.538510330988463
1110,0.538510330988463
1111,0.538510330988463
1112,0.538510330988463
1113,0.538510330988463
1114,0.538510330988463
1115,0.538510330988463
1116,0.538510330988463
1117,0.538510330988463
1118,0.538510330988463
1119,0.538510330988463
1120,0.538510330988463
1121,0.538510330988463
1122,0.538510330988463
1123,0.538510330988463
1124,0.538510330988463
1125,0.538510330988463
1126,0.538510330988463
1127,0.538510330988463
1128,0.538510330988463
1129,0.538510330988463
1130,0.538510330988463
1131,0.538510330988463
1132,0.538510330988463
1133,0.538510330988463
1134,0.538510330988463
1135,0.538510330988463
1136,0.538510330988463
1137,0.538510330988463
1138,0.538510330988463
1139,0.538510330988463
1140,0.538510330988463
1141,0.538510330988463
1142,0.538510330988463
1143,0.538510330988463
1144,0.538510330988463
1145,0.538510330988463
1146,0.538510330988463
1147,0.538510330988463
1148,0.538510330988463
1149,0.538510330988463
1150,0.5351671224659724
1151,0.5295310914522725
1152,0.5298088985037882
1153,0.5248141817257221
1154,0.5244917173415512
1155,0.524996117108124
1156,0.5374314622608242
1157,0.5328770594415013
1158,0.5322284691978233
1159,0.5214310286106646
1160,0.523716294635627
1161,0.5292269508963404
1162,0.5266375355348164
1163,0.5223297028986711
1164,0.49440466285222245
1165,0.48984660568226546
1166,0.4897976210216972
1167,0.4897976210216972
1168,0.4897976210216972
1169,0.4897976210216972
1170,0.4897976210216972
1171,0.4897976210216972
1172,0.4897976210216972
1173,0.4897976210216972
1174,0.4897976210216972
1175,0.4897976210216972
1176,0.4897976210216972
1177,0.4897976210216972
1178,0.4897976210216972
1179,0.4897976210216972
1180,0.4897976210216972
1181,0.4897976210216972
1182,0.4897976210216972
1183,0.4897976210216972
1184,0.4897976210216972
1185,0.4897976210216972
1186,0.4897976210216972
1187,0.4897976210216972
1188,0.4897976210216972
1189,0.4897976210216972
1190,0.4897976210216972
1191,0.4897976210216972
1192,0.4897976210216972
1193,0.4897976210216972
1194,0.4897976210216972
1195,0.4897976210216972
1196,0.4897976210216972
1197,0.4897976210216972
1198,0.4897976210216972
1199,0.4897976210216972
1200,0.4897976210216972
1201,0.4897976210216972
1202,0.4897976210216972
1203,0.4897976210216972
1204,0.4897976210216972
1205,0.4897976210216972
1206,0.4897976210216972
1207,0.4897976210216972
1208,0.4897976210216972
1209,0.4897976210216972
1210,0.4897976210216972
1211,0.4897976210216972
1212,0.4897976210216972
1213,0.4897976210216972
1214,0.4897976210216972
1215,0.4897976210216972
1216,0.4897976210216972
1217,0.4897976210216972
1218,0.4897976210216972
1219,0.4897976210216972
1220,0.4897976210216972
1221,0.4897976210216972
1222,0.4897976210216972
1223,0.4897976210216972
1224,0.4897976210216972
1225,0.4897976210216972
1226,0.4897976210216972
1227,0.4897976210216972
1228,0.4897976210216972
1229,0.4897976210216972
1230,0.4897976210216972
1231,0.4897976210216972
1232,0.4897976210216972
1233,0.4897976210216972
1234,0.4897976210216972
1235,0.4897976210216972
1236,0.4823074016771131
1237,0.48167616494200566
1238,0.4831906210787127
1239,0.48134293264925937
1240,0.4857492684874762
1241,0.4840026793701729
1242,0.479542714787605
1243,0.48651900338164095
1244,0.4897700549670172
1245,0.49084507242398645
1246,0.49541492022821604
1247,0.5007069383465956
1248,0.5024174433738867
1249,0.49022022085314154
1250,0.4869195069477746
1251,0.4847014016574197
1252,0.4799543646325984
1253,0.4809088735311566
1254,0.486676592496859
1255,0.4843223829776123
1256,0.47885720332355747
1257,0.4886677383869542
1258,0.4864666803868354
1259,0.4805055417391928
1260,0.48164895237026767
1261,0.4837036181394196
1262,0.480305259488861
1263,0.48411689433695293
1264,0.4529459554291151
1265,0.45290066083357217
1266,0.45290066083357217
1267,0.45290066083357217
1268,0.45290066083357217
1269,0.45290066083357217
1270,0.45290066083357217
1271,0.45290066083357217
1272,0.45290066083357217
1273,0.45290066083357217
1274,0.45290066083357217
1275,0.45290066083357217
1276,0.45290066083357217
1277,0.45290066083357217
1278,0.45290066083357217
1279,0.45290066083357217
1280,0.45290066083357217
1281,0.45290066083357217
1282,0.45290066083357217
1283,0.45290066083357217
1284,0.45290066083357217
1285,0.45290066083357217
1286,0.45768242206825216
1287,0.46467733074865275
1288,0.4654437528805005
1289,0.4585804185905486
1290,0.45320424707529144
1291,0.44673468464196214
1292,0.45390175481731293
1293,0.4500716037697746
1294,0.45565006119679613
1295,0.4583267805572467
1296,0.46625612874486716
1297,0.4709566510660294
1298,0.47047477820146855
1299,0.4695346259924739
1300,0.46993468826556545
1301,0.47075902243046985
1302,0.4682671173763729
1303,0.4681143547110893
1304,0.47570875815748914
1305,0.4676800607477614
1306,0.4688905220111401
1307,0.4646571327048854
1308,0.4655270271099056
1309,0.4694532469460451
1310,0.46918287197254815
1311,0.4728236474338373
1312,0.4653659505720739
1313,0.470546120035819
1314,0.4677166600132858
1315,0.47063684455396526
1316,0.4714962963040876
1317,0.4594617175808911
1318,0.4560009915219348
1319,0.4570076213096812
1320,0.4641648774301301
1321,0.465500192968033
1322,0.4667013147416049
1323,0.46015465024089364
1324,0.4667874879253785
1325,0.47529937377121584
1326,0.42132882237678737
1327,0.42040393921361363
1328,0.4136521949653737
1329,0.41361082974587715
1330,0.41361082974587715
1331,0.41361082974587715
1332,0.41361082974587715
1333,0.41361082974587715
1334,0.41361082974587715
1335,0.41361082974587715
1336,0.41361082974587715
1337,0.41361082974587715
1338,0.41361082974587715
1339,0.41361082974587715
1340,0.41361082974587715
1341,0.41361082974587715
1342,0.41361082974587715
1343,0.41361082974587715
1344,0.41361082974587715
1345,0.41361082974587715
